cotizante_tipo_id,cotizante_id,afiliado_tipo_id,afiliado_id,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,dpto_afiliacion,mpio_afiliacion,dpto_residencia,mpio_residencia,direccion_residencia,telefono_residencia,telefono_movil,fecha_nacimiento,fecha_afiliacion,fecha_aplicacion_cambio_estado,descripcion_estamento,estado_afiliado_id,subestado_afiliado_id,eps_tipo_afiliado_id,parentesco,fecha_estao_corte,fecha_corte,correo_electronico,edad,medico_familiar,plan_atencion,etnia,discapacidad,tipo_discapacidad,nombre_afiliado,plan,fecha_inicio_cobertura,fecha_fin_cobertura,antiguedad_anios,anio_afiliacion
CC,AA0217D0,CC,AA0217D0,BELLOTA,,PHOEBE,POPIS,F,76,001,76,001,TRANS 32 # 29-91,3022796177001280855,617294889,04/03/1961,17/01/2022,17/01/2022,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,phoebe.bellotaaa02@example.com,65,NEMO MARLIN LUIGI KENT,5,NINGUNA DE LAS ANTERIORES,NO,,BELLOTA PHOEBE POPIS,COTIZANTES SSUV,,,4.4,2022
CC,D289F0AB,CC,D289F0AB,SKINNER,NEUTRON,KIKO,TAZ,M,76,001,76,001,TRANS 71 # 79-44,3119896835405256406,3056432900,21/02/1963,01/02/1993,06/10/2008,EMPLEADO PUBLICO DOCENTE RESOLUCION 115,AC,A01,C,,,26/06/2026,kiko.skinnerd289@example.com,63,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,SKINNER NEUTRON KIKO TAZ,COTIZANTES SSUV,,,33.4,1993
CE,328067A1,CE,328067A1,SAMURAI,KETCH,BULMA,MERIDA,F,76,001,76,001,CRA 17 # 26-41,309157275063622982,3250538653,12/02/1975,01/02/2005,06/10/2008,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,bulma.samurai3280@example.com,51,SUSANITA MILK VORTEX PYM,5,NINGUNA DE LAS ANTERIORES,NO,,SAMURAI KETCH BULMA MERIDA,COTIZANTES SSUV,,,21.4,2005
CC,0B461173,CC,0B461173,TRUENO,LANG,KIKO,,M,76,001,76,001,CRA 59 # 36-28,3848420941844462042457972731,3392118082938,24/02/1976,01/04/2007,06/10/2008,TRABAJADOR OFICIAL CON PREST DE LEY,AC,A01,C,,,26/06/2026,kiko.trueno0b46@example.com,50,SUSANITA MILK VORTEX PYM,5,NINGUNA DE LAS ANTERIORES,NO,,TRUENO LANG KIKO,COTIZANTES SSUV,,,19.2,2007
CC,1221CDDF,CC,1221CDDF,BOMBON,CRAWFORD,VEGETA,BRUTUS,M,76,001,76,001,TRANS 112 # 92-90,385729032165155673,3376107277,06/06/1969,01/06/2012,01/06/2012,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,vegeta.bombon1221@example.com,57,POPIS MAFALDA GRIMM SKINNER,5,NINGUNA DE LAS ANTERIORES,NO,,BOMBON CRAWFORD VEGETA BRUTUS,COTIZANTES SSUV,,,14.1,2012
CC,BD9C4693,CC,BD9C4693,BLAZE,HALCON,LINUS,PAPALOTE,M,76,001,76,001,TRANS 18 # 43-2,3765973246,3057050211,20/10/1975,01/03/2020,03/03/2020,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,linus.blazebd9c@example.com,50,NEMO MARLIN LUIGI KENT,5,,NO,,BLAZE HALCON LINUS PAPALOTE,COTIZANTES SSUV,,,6.3,2020
CC,C4615234,CC,C4615234,SUPERSONICO,WANDA,DONALD,PIOLIN,M,76,001,76,001,DIAG 73 # 88-31,3583682517,3024552674,15/04/1983,01/08/2021,11/08/2021,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,donald.supersonicoc461@example.com,43,GERALD PAPALOTE MURDOCK MOJO,5,,NO,,SUPERSONICO WANDA DONALD PIOLIN,COTIZANTES SSUV,,,4.9,2021
CC,76F186AB,CC,76F186AB,BURBUJA,BANNER,TIANA,SUSANITA,F,76,001,76,001,CLL 106 # 10-26,3443222837,,30/05/1962,02/02/1999,06/10/2008,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,,64,MOANA LISA MCPATO BOMBON,5,,NO,,BURBUJA BANNER TIANA SUSANITA,COTIZANTES SSUV,,,27.4,1999
CC,A334058A,CC,A334058A,PLANKTON,KOOPA,FLORINDA,JASMIN,F,76,001,76,001,CLL 36 # 99-32,30273220448400045344462,3279281727,08/09/1950,25/01/2012,27/01/2012,PENSIONADO DOCENTE,AC,A01,C,,,26/06/2026,florinda.planktona334@example.com,75,SUSANITA MILK VORTEX PYM,5,MESTIZO,NO,,PLANKTON KOOPA FLORINDA JASMIN,COTIZANTES SSUV,,,14.4,2012
CC,1139FA12,CC,1139FA12,CRAWFORD,CALAMARDO,TIANA,NALA,F,76,001,76,001,TRANS 78 # 40-72,3347720484,3437628255,27/06/1960,01/04/1992,06/10/2008,PENSIONADO DOCENTE,AC,A01,C,,,26/06/2026,tiana.crawford1139@example.com,65,MOANA LISA MCPATO BOMBON,5,,NO,,CRAWFORD CALAMARDO TIANA NALA,COTIZANTES SSUV,,,34.2,1992
CC,BA6C34AB,CC,BA6C34AB,SKINNER,KENT,MARLIN,VEGETA,M,76,001,76,001,CLL 29 # 43-99,3482759655987,3694130087106,19/08/1967,01/07/2019,03/07/2019,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,marlin.skinnerba6c@example.com,58,GERALD PAPALOTE MURDOCK MOJO,5,,NO,,SKINNER KENT MARLIN VEGETA,COTIZANTES SSUV,,,7.0,2019
